LOC,NAME,CODETX,MFG,SER,KV,MVA,Year Test,Sample Day,Tested day,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TCG,TEMP,WATER,NB
TK2,KT2A,TK2KT2A,FUJI,AN69003T4-1,115/22,25,1998.0,2022-09-04,2022-09-15,6342,38263,1262.0,20.0,7.0,1.0,0.0,0.0,11.0,0.0,0.0,39.0,61,14,
TK2,KT2A,TK2KT2A,FUJI,AN69003T4-1,115/22,25,1998.0,2023-06-09,2023-06-16,7905,27626,1771.0,125.0,1.0,27.0,0.0,1.0,19.0,9.0,15.0,197.0,60,15,
TK2,KT2A,TK2KT2A,FUJI,AN69003T4-1,115/22,25,1998.0,2024-05-24,2024-06-08,9328,32490,1462.0,76.0,2.0,18.0,0.0,4.0,43.0,2.0,35.0,180.0,63,13,
TL1,KT1A,TL1KT1A,MEIDEN,8N5446T2,115/22,50,,2019-10-11,2019-11-14,7948,48246,3418.0,574.0,17.0,11.0,0.0,0.0,21.0,0.0,2.0,625.0,57,-14,-
TL1,KT1A,TL1KT1A,MEIDEN,8N5446T2,115/22,50,,2022-07-14,2022-07-30,13548,73623,3697.0,1238.0,8.0,1.0,0.0,13.0,7.0,0.0,0.0,1267.0,69,12,
TL1,KT1A,TL1KT1A,MEIDEN,8N5446T2,115/22,50,,2023-01-28,2023-02-02,12160,59470,3234.0,1142.0,2.0,4.0,0.0,5.0,2.0,3.0,3.0,1161.0,68,7,
TL1,KT1A,TL1KT1A,MEIDEN,8N5446T2,115/22,50,,2024-01-20,2024-02-15,12870,44930,2985.0,1190.0,2.0,6.0,0.0,6.0,2.0,5.0,8.0,1219.0,64,11,
TL3,KT1A,TL3KT1A,FUJI,AQ69008T1-2,230/121/22,200,2006.0,2019-10-11,2019-11-14,7135,37654,1642.0,82.0,11.0,21.0,0.0,0.0,79.0,0.0,57.0,250.0,63,11,-
TL3,KT1A,TL3KT1A,FUJI,AQ69008T1-2,230/121/22,200,2006.0,2021-01-16,2021-03-23,5250,62360,1700.0,100.0,58.0,0.0,0.0,0.0,93.0,0.0,0.0,251.0,61,21,
TL3,KT1A,TL3KT1A,FUJI,AQ69008T1-2,230/121/22,200,2006.0,2022-01-22,2022-01-29,9570,45910,1658.0,79.0,22.0,19.0,0.0,0.0,85.0,74.0,83.0,362.0,74,15,
TL3,KT1A,TL3KT1A,FUJI,AQ69008T1-2,230/121/22,200,2006.0,2023-01-22,2023-01-30,4774,45420,1796.0,103.0,39.0,41.0,0.0,3.0,146.0,49.0,79.0,460.0,56,5,
TL3,KT1A,TL3KT1A,FUJI,AQ69008T1-2,230/121/22,200,2006.0,2024-02-15,2024-03-22,9151,46500,2187.0,110.0,27.0,56.0,0.0,4.0,196.0,0.0,110.0,503.0,65,21,
