Tr.,MFG,KV,MVA,Age,Year Test,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TCG,TEMP,WATER,year_num,R1,R2,R3,R4,R5,Duval_Total,IRM_fault,DRM_fault,RRM_fault,DTM_fault,DPM_fault,fault_majority_vote,faults_index
1.0,ABB,115/22,50,17,2020,5405,55119,1851.0,202.0,10.0,16,20.0,2.0,1.0,2.0,1.0,234.0,47,10,5,1.6,10.0,1.25,0.05,2.0,38.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
1.0,ABB,115/22,50,17,2021,16174,64807,684.0,121.0,14.0,10,20.0,2.0,2.0,2.0,1.0,152.0,46,38,6,0.7142857142857143,10.0,2.0,0.1,1.0,32.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
1.0,ABB,115/22,50,17,2022,10316,46537,1196.0,163.0,9.0,9,20.0,2.0,2.0,1.0,2.0,184.0,48,17,7,1.0,10.0,2.2222222222222223,0.1,1.0,31.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
1.0,ABB,115/22,50,17,2023,10547,46745,2075.0,243.0,13.0,15,20.0,3.0,3.0,3.0,2.0,282.0,45,6,8,1.1538461538461537,6.666666666666667,1.3333333333333333,0.15,1.0,38.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
1.0,ABB,115/22,50,17,2024,5642,30749,2084.0,200.0,16.0,10,20.0,15.0,3.0,14.0,2.0,260.0,49,11,9,0.625,1.3333333333333333,2.0,0.15,5.0,45.0,D1,Uncertain,D2,PD,PD,PD,3
2.0,DAIHEN,115/22,50,11,2023,10570,56560,1642.0,592.0,14.0,3,20.0,5.0,1.0,28.0,3.0,646.0,46,6,8,0.21428571428571427,4.0,6.666666666666667,0.05,5.0,28.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
2.0,DAIHEN,115/22,50,11,2022,10351,35195,755.0,158.0,4.0,2,20.0,2.0,55.0,2.0,37.0,735.0,49,26,7,0.5,10.0,10.0,2.75,0.03636363636363636,24.0,F1,Uncertain,Uncertain,PD,Uncertain,F1,2
2.0,DAIHEN,115/22,50,11,2024,19766,47492,1625.0,641.0,17.0,8,20.0,12.0,2.0,4.0,5.0,689.0,50,10,9,0.47058823529411764,1.6666666666666667,2.5,0.1,6.0,40.0,D1,Uncertain,D2,PD,PD,PD,3
2.0,DAIHEN,115/22,50,11,2020,11354,68371,1004.0,617.0,27.0,4,20.0,2.0,2.0,25.0,3.0,655.0,49,15,5,0.14814814814814814,10.0,5.0,0.1,1.0,26.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
2.0,DAIHEN,115/22,50,11,2021,14386,65964,854.0,544.0,42.0,7,20.0,8.0,2.0,6.0,3.0,612.0,50,29,6,0.16666666666666666,2.5,2.857142857142857,0.1,4.0,35.0,D1,Uncertain,D2,PD,PD,PD,3
3.0,MEIDENSHA,115/22,50,12,2019,10461,41192,2800.0,875.0,7.0,60,20.0,4.0,15.0,25.0,37.0,901.0,60,12,4,8.571428571428571,5.0,0.3333333333333333,0.75,0.26666666666666666,84.0,F1,Uncertain,Uncertain,PD,T3,F1,2
3.0,MEIDENSHA,115/22,50,12,2020,12241,76965,1426.0,731.0,63.0,7,20.0,5.0,2.0,1.0,1.0,810.0,36,12,5,0.1111111111111111,4.0,2.857142857142857,0.1,2.5,32.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
3.0,MEIDENSHA,115/22,50,12,2021,11517,55087,1265.0,652.0,32.0,2,20.0,1.0,1.0,25.0,1.0,689.0,36,14,6,0.0625,20.0,10.0,0.05,1.0,23.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
3.0,MEIDENSHA,115/22,50,12,2022,18452,68867,1514.0,686.0,1.0,3,20.0,2.0,1.0,25.0,2.0,695.0,60,9,7,3.0,10.0,6.666666666666667,0.05,2.0,25.0,Uncertain,Uncertain,Uncertain,PD,Uncertain,PD,3
3.0,MEIDENSHA,115/22,50,12,2023,18816,84032,2084.0,715.0,45.0,9,20.0,35.0,2.0,25.0,2.0,728.0,57,7,8,0.2,0.5714285714285714,2.2222222222222223,0.1,17.5,64.0,Uncertain,Uncertain,D2,Uncertain,Uncertain,D2,1
3.0,MEIDENSHA,115/22,50,12,2024,13561,82156,3385.0,1334.0,4.0,13,20.0,43.0,14.0,3.0,5.0,1416.0,53,9,9,3.25,0.46511627906976744,1.5384615384615385,0.7,3.0714285714285716,76.0,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,7
4.0,MEIDENSHA,115/22,50,12,2023,10601,77523,2230.0,771.0,3.0,7,20.0,7.0,2.0,25.0,5.0,795.0,59,7,8,2.3333333333333335,2.857142857142857,2.857142857142857,0.1,3.5,34.0,Uncertain,Uncertain,Uncertain,PD,Uncertain,PD,3
4.0,MEIDENSHA,115/22,50,12,2024,14828,80302,3746.0,1575.0,3.0,13,20.0,49.0,19.0,3.0,10.0,1672.0,52,9,9,4.333333333333333,0.40816326530612246,1.5384615384615385,0.95,2.5789473684210527,82.0,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,7
4.0,MEIDENSHA,115/22,50,12,2022,19258,76153,1871.0,752.0,1.0,14,20.0,15.0,2.0,25.0,5.0,789.0,61,11,7,14.0,1.3333333333333333,1.4285714285714286,0.1,7.5,49.0,Uncertain,Uncertain,Uncertain,PD,Uncertain,PD,3
4.0,MEIDENSHA,115/22,50,12,2020,13054,71682,1277.0,715.0,36.0,5,20.0,5.0,2.0,2.0,4.0,769.0,54,12,5,0.1388888888888889,4.0,4.0,0.1,2.5,30.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
4.0,MEIDENSHA,115/22,50,12,2019,10848,51862,2958.0,1068.0,8.0,2,20.0,4.0,55.0,25.0,37.0,1082.0,55,15,4,0.25,5.0,10.0,2.75,0.07272727272727272,26.0,F1,Uncertain,Uncertain,PD,Uncertain,F1,2
4.0,MEIDENSHA,115/22,50,12,2021,10285,56741,1275.0,649.0,42.0,1,20.0,1.0,1.0,25.0,3.0,697.0,36,18,6,0.023809523809523808,20.0,20.0,0.05,1.0,22.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
