LOC,NAME,CODETX,SER,KV,MVA,YEAR_Energized,Sample Day,Tested Day,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TEMP,NB
CM3,KT5AA,CM3KT5AA,9812811102,230/115/22,200,2013.0,2020-04-28,2020-05-28,24150,71960,844,57.0,248,201.0,6109,1063,89.0,417.0,18.0,54.0,
CM3,KT5AA,CM3KT5AA,9812811102,230/115/22,200,2013.0,2021-04-10,2021-10-28,30350,58392,1913,101.0,256,149.0,3454,742,72.0,320.0,0.0,,
CM3,KT5AA,CM3KT5AA,9812811102,230/115/22,200,2013.0,2021-10-01,2021-11-13,20080,56553,2291,320.0,408,175.0,3766,829,87.0,375.0,0.0,,
CM3,KT5AB,CM3KT5AB,9812811102,230/115/22,200,2013.0,2020-04-28,2020-05-28,23302,56434,1770,151.0,546,216.0,4333,717,66.0,164.0,0.0,54.0,
CM3,KT5AB,CM3KT5AB,9812811102,230/115/22,200,2013.0,2021-04-10,2021-10-31,30475,55091,1788,211.0,265,184.0,4303,780,99.0,492.0,0.0,,
CM3,KT5AB,CM3KT5AB,9812811102,230/115/22,200,2013.0,2021-10-01,2021-11-13,25109,58015,2272,279.0,539,201.0,4076,841,85.0,319.0,0.0,,
CM3,KT5AC,CM3KT5AC,9812811102,230/115/22,200,2013.0,2020-04-28,2020-05-30,29334,58308,1502,116.0,245,189.0,3522,602,59.0,146.0,0.0,54.0,
CM3,KT5AC,CM3KT5AC,9812811102,230/115/22,200,2013.0,2021-04-11,2021-10-22,27429,58954,1760,132.0,584,218.0,4249,748,74.0,347.0,0.0,,
CM3,KT5AC,CM3KT5AC,9812811102,230/115/22,200,2013.0,2021-10-01,2021-11-13,23094,58237,2600,361.0,1910,351.0,5518,1019,92.0,367.0,0.0,,
CPA,KT1A,CPAKT1A,56043,115/22,50,2014.0,2020-04-02,2020-05-10,28273,64412,328,36.0,515,85.0,1255,96,4.0,22.0,1.0,45.0,
CPA,KT2A,CPAKT2A,56044,115/22,50,2011.0,2020-04-02,2020-05-19,30808,54138,369,46.0,577,60.0,697,61,0.0,0.0,0.0,46.0,
CR,KT1A,CRKT1A,8P9089T2,115/22,50,2004.0,2024-02-18,2024-05-31,13942,45926,1560,136.0,51,49.0,1730,179,11.0,177.0,6.0,40.0,
CR,KT2A,CRKT2A,8R8396T1,115/22,50,2006.0,2024-02-19,2024-05-31,12562,46488,2297,190.0,183,86.0,2505,338,17.0,283.0,10.0,42.0,
CR*,KT3A,CR*KT3A,8S9486T3,115/33,50,,2020-02-22,2020-03-01,28074,42526,610,39.0,101,127.0,4735,568,26.0,226.0,8.0,,
CTG,KT1A,CTGKT1A,AN69003T3-1,115/22,25,1998.0,2021-04-12,2021-10-22,36126,64909,1527,0.0,11,0.0,0,11,0.0,0.0,0.0,,
CTG,KT2A,CTGKT2A,60546-001,115/22,25,,2021-04-12,2021-10-21,13876,58755,2138,121.0,4677,1003.0,3833,1657,141.0,391.0,14.0,,
CTN,KT1A,CTNKT1A,8R9911T6,115/22,50,2008.0,2024-02-22,2024-04-05,51970,55300,871,41.0,439,61.0,724,53,2.0,12.0,1.0,54.0,
CTN,KT2A,CTNKT2A,8R9911T7,115/22,50,2008.0,2024-02-22,2024-04-05,4582,51790,614,44.0,152,25.0,319,24,1.0,7.0,1.0,55.0,
CYP,KT2AA,CYPKT2AA,A1Z69040T1-2,230/115/22,120/160/200,2007.0,2022-11-24,2022-12-04,8614,48647,402,149.0,11230,1705.0,10556,2657,297.0,457.0,13.0,49.0,
CYP,KT2AA,CYPKT2AA,A1Z69040T1-2,230/115/22,120/160/200,2007.0,2024-02-07,2024-04-20,7873,20946,396,83.0,1016,87.0,723,96,9.0,74.0,4.0,53.0,
CYP,KT2AB,CYPKT2AB,A1Z69040T1-2,230/121/22,120/160/200,2007.0,2024-03-04,2024-03-23,8163,37604,316,44.0,264,36.0,365,102,16.0,36.0,2.0,53.0,
CYP,KT2AB,CYPKT2AB,A1Z69040T1-2,230/121/22,120/160/200,2007.0,2022-11-24,2022-12-08,7954,49521,466,187.0,10542,1663.0,12801,1898,147.0,451.0,12.0,49.0,
CYP,KT2AC,CYPKT2AC,A1Z69040T1-2,230/121/22,120/160/200,2007.0,2024-03-04,2024-04-06,13517,30218,516,76.0,1237,258.0,1017,1939,337.0,356.0,17.0,53.0,
